timstamp,open,high,low,close
1625961600000,2110.68000000,2174.00000000,2081.02000000,2140.45000000
1626048000000,2140.54000000,2167.83000000,2006.68000000,2031.58000000
1626134400000,2031.57000000,2047.35000000,1918.00000000,1940.15000000
1626220800000,1940.44000000,2019.18000000,1865.00000000,1994.58000000
1626307200000,1994.41000000,2042.88000000,1881.00000000,1919.51000000
1626393600000,1919.54000000,1965.00000000,1850.00000000,1876.26000000
1626480000000,1876.47000000,1919.19000000,1844.45000000,1899.59000000
1626566400000,1899.50000000,1993.79000000,1877.10000000,1891.64000000
1626652800000,1891.65000000,1919.00000000,1805.00000000,1818.73000000
1626739200000,1818.73000000,1841.34000000,1706.00000000,1786.03000000
1626825600000,1786.03000000,2035.23000000,1747.55000000,1995.50000000
1626912000000,1995.50000000,2046.00000000,1947.62000000,2024.56000000
1626998400000,2024.27000000,2130.90000000,1993.22000000,2124.25000000
1627084800000,2124.26000000,2199.50000000,2105.58000000,2184.75000000
1627171200000,2184.90000000,2197.41000000,2105.93000000,2189.79000000
1627257600000,2189.82000000,2433.65000000,2171.57000000,2228.08000000
1627344000000,2227.81000000,2319.26000000,2150.50000000,2299.49000000
1627430400000,2299.47000000,2345.00000000,2243.15000000,2300.90000000
1627516800000,2300.90000000,2400.00000000,2266.12000000,2382.92000000
1627603200000,2382.93000000,2471.70000000,2315.92000000,2461.81000000
1627689600000,2461.77000000,2553.86000000,2420.68000000,2531.05000000
1627776000000,2531.10000000,2697.61000000,2511.24000000,2555.69000000
1627862400000,2555.50000000,2666.00000000,2507.00000000,2606.93000000
1627948800000,2606.92000000,2632.44000000,2442.32000000,2509.04000000
1628035200000,2508.51000000,2772.71000000,2457.68000000,2724.78000000
1628121600000,2724.55000000,2843.98000000,2529.91000000,2826.99000000
1628208000000,2827.01000000,2946.75000000,2720.06000000,2891.58000000
1628294400000,2891.54000000,3171.00000000,2865.50000000,3160.31000000
1628380800000,3160.48000000,3189.99000000,2949.03000000,3011.85000000
1628467200000,3011.84000000,3186.00000000,2893.23000000,3160.52000000
1628553600000,3160.51000000,3233.00000000,3051.22000000,3141.66000000
1628640000000,3141.14000000,3274.00000000,3120.27000000,3160.50000000
1628726400000,3160.40000000,3239.00000000,2979.29000000,3045.96000000
1628812800000,3046.11000000,3327.83000000,3033.80000000,3322.32000000
1628899200000,3322.33000000,3330.98000000,3200.00000000,3263.16000000
1628985600000,3263.16000000,3320.00000000,3111.13000000,3307.09000000
1629072000000,3307.35000000,3335.00000000,3135.22000000,3146.53000000
1629158400000,3147.18000000,3290.00000000,2991.89000000,3011.72000000
1629244800000,3011.73000000,3125.81000000,2950.00000000,3014.55000000
1629331200000,3014.18000000,3188.00000000,2958.33000000,3184.12000000
1629417600000,3184.11000000,3300.00000000,3177.16000000,3284.82000000
1629504000000,3284.81000000,3309.16000000,3207.00000000,3223.43000000
1629590400000,3223.36000000,3272.00000000,3126.42000000,3238.00000000
1629676800000,3238.00000000,3377.89000000,3230.02000000,3321.28000000
1629763200000,3321.28000000,3357.85000000,3147.31000000,3170.62000000
1629849600000,3170.63000000,3248.00000000,3080.00000000,3226.87000000
1629936000000,3226.88000000,3250.00000000,3053.30000000,3093.20000000
